Drivers, Profundidad, Tiempo_promedio [ns], Ancho_de_banda [bits/s]
2,1,334.0,263099900.0
2,2,315.0,262631400.0
2,3,229.5,296973200.0
2,4,226.3,303453050.0
2,6,368.45,415612200.0
2,7,535.3,330095500.0
2,8,454.5,274611300.0
2,10,566.6,428253900.0
2,11,507.6,265464600.0
2,12,394.9,328608100.0
2,13,401.5,435198000.0
2,15,424.0,303808600.0
2,16,494.4,358027800.0
3,3,492.03333333333336,345352233.3333333
3,4,619.9,346151300.0
3,6,466.75,391759050.0
3,7,397.6,363817300.0
3,8,516.2,354124000.0
3,9,643.45,309091500.0
3,10,679.8,279582200.0
3,11,583.8,310405550.0
3,12,652.1,431602900.0
3,16,668.45,365638650.0
4,2,548.2,506170700.0
4,3,532.8,456204400.0
4,4,447.1,385295300.0
4,5,517.7,295570800.0
4,6,724.0,273045400.0
4,9,689.5333333333333,381245833.3333333
4,10,618.6,320646200.0
4,11,764.2,323082750.0
4,12,683.7,199495400.0
4,13,672.1,367513700.0
4,14,692.0,432204900.0
4,15,685.2,343455533.3333333
5,1,289.75,325206300.0
5,3,545.7,395461900.0
5,5,709.1,364112250.0
5,6,699.2,335920600.0
5,9,833.1,366551500.0
5,11,843.425,308942725.0
5,14,792.3,236043300.0
5,15,920.05,258137650.0
6,2,674.0,445581200.0
6,4,477.6,354535900.0
6,5,822.65,344489350.0
6,6,743.9,410762700.0
6,7,854.55,300520050.0
6,8,941.2,304552600.0
6,10,908.8,260509700.0
6,11,977.05,312965950.0
6,12,710.3,305201100.0
6,15,1099.3,265221100.0
7,2,750.6,403566850.0
7,3,725.6,322334300.0
7,4,759.7,406130300.0
7,8,858.8,342838650.0
7,9,952.2,307541900.0
7,10,867.8,239818600.0
7,11,1003.8,314932200.0
7,12,952.5,301268000.0
7,13,913.35,318364850.0
7,14,1167.9,251889500.0
7,15,1174.4,190919100.0
8,2,734.5,381648360.0
8,4,869.5,275608890.0
8,7,941.0,244016250.0
8,9,820.8,405277300.0
8,11,941.3,285837300.0
8,12,1045.1,328024350.0
8,13,1020.7,329065050.0
9,1,529.5,401865600.0
9,2,711.0,323347300.0
9,3,712.8,321613400.0
9,4,794.1,348060940.0
9,6,1011.8,277638990.0
9,7,1041.05,333271455.0
9,8,964.4,319460060.0
9,10,970.9,327409700.0
9,11,1146.4,303878250.0
9,12,1312.6,239520640.0
9,13,1188.925,285930817.5
9,14,1142.45,258465630.0
9,15,1035.65,293403770.0
9,16,1127.4,238925450.0
10,2,847.85,335503235.0
10,3,831.175,352601170.0
10,4,923.4,276574335.0
10,5,847.1,372660320.0
10,7,1207.8,279737350.0
10,8,1034.2,423505230.0
10,9,1117.5,267208930.0
10,11,1143.65,299437305.0
10,12,1238.85,254494755.0
10,13,1191.9,261762850.0
10,14,1120.7,333690930.0
10,16,1387.95,234515670.0
11,3,826.9,393995400.0
11,4,865.5,383164200.0
11,5,1011.6,325966040.0
11,6,1201.0,324087300.0
11,7,1182.0,338102100.0
11,8,1205.1,291102350.0
11,9,1316.8,302095220.0
11,10,880.7,304369270.0
11,11,1230.6,280295040.0
11,13,1257.2,239212810.0
11,16,1210.3,283865130.0
12,2,856.375,305479197.5
12,9,1144.4,283482190.0
12,10,1298.625,271756067.5
12,12,1215.3,279235945.0
12,13,1168.4,302546395.0
12,14,1297.3,239729330.0
12,15,1098.5,282317890.0
12,16,1238.9666666666667,298529950.0
13,1,1057.0,312081135.0
13,4,1078.4,263136080.0
13,5,1144.2,258533155.0
13,6,1199.6,270394420.0
13,7,1398.0666666666666,250355856.66666666
13,8,1318.85,316582700.0
13,9,929.6,317740560.0
13,11,1419.9,257702200.0
13,13,1166.6,237685560.0
13,14,1417.9,235276100.0
13,15,1545.3,237959050.0
14,1,803.5,300592050.0
14,2,801.0,262258200.0
14,3,1093.85,304134550.0
14,6,1343.55,309947480.0
14,7,1327.6,330629970.0
14,8,1443.6,310549780.0
14,9,1395.6,312819260.0
14,10,1388.3,174850450.0
14,14,1501.6,254673140.0
14,15,1359.0333333333333,274211773.3333333
14,16,1447.4666666666667,249578876.66666666
15,1,934.6,317111845.0
15,2,1007.4,258293290.0
15,3,1098.7,343020220.0
15,4,1153.0,338669290.0
15,5,1314.9,354016260.0
15,6,1391.1,311227880.0
15,8,1173.7,317482540.0
15,9,1172.8,331102970.0
15,10,1500.4,282079320.0
15,11,1301.5,288896150.0
15,12,1265.3,304943650.0
15,13,1514.2,208757760.0
15,14,1369.4,234545880.0
15,15,1170.2,193484720.0
16,2,1109.45,316507485.0
16,4,1101.825,309950872.5
16,7,1509.0,324507050.0
16,9,1475.25,235306275.0
16,10,1413.65,256853855.0
16,11,1659.2,165125530.0
16,12,1378.0,286535330.0
16,13,1591.6,247462625.0
16,14,1329.6,274739210.0
16,16,1706.2,251006060.0
