Profundidad,Tiempo_promedio,Ancho_de_banda
2,1133.142857142857,319026714.28571427
3,627.6,213175000.0
4,846.875,244313750.0
5,396.75,125198625.0
6,639.6666666666666,191667583.33333334
7,785.1428571428571,234572142.85714287
8,694.3846153846154,199491384.6153846
9,666.1333333333333,202697200.0
10,739.3333333333334,228422666.66666666
11,736.4666666666667,211424533.33333334
12,833.2631578947369,237460842.10526314
13,678.1,199645000.0
14,649.8125,169962000.0
15,672.7333333333333,189092800.0
16,562.9375,162270937.5
