Rows,Colums,Profundidad,Pack_Size,Tiempo_promedio,Ancho de banda,Dispositivos
4,4,16,32,420,7.62E+08,16
4,4,16,32,308,1.04E+09,16
4,4,16,32,282,1.13E+09,16
4,4,16,32,291,1.10E+09,16
4,4,16,32,286,1.12E+09,16
4,4,23,32,220,1.45E+09,16
4,4,23,32,245,1.31E+09,16
4,4,23,32,232,1.38E+09,16
4,4,23,32,348,9.20E+08,16
4,4,23,32,341,9.38E+08,16
4,4,3,32,460,6.96E+08,16
4,4,3,32,367,8.72E+08,16
4,4,3,32,329,9.73E+08,16
4,4,3,32,321,9.97E+08,16
4,4,3,32,305,1.05E+09,16
4,4,6,32,120,-1.63E+09,16
4,4,6,32,278,1.15E+09,16
4,4,6,32,252,1.27E+09,16
4,4,6,32,273,1.17E+09,16
4,4,6,32,296,1.08E+09,16
4,4,4,32,340,9.41E+08,16
4,4,4,32,251,1.27E+09,16
4,4,4,32,235,1.36E+09,16
4,4,4,32,227,1.41E+09,16
4,4,4,32,244,1.31E+09,16
4,4,8,32,160,2.00E+09,16
4,4,8,32,246,1.30E+09,16
4,4,8,32,246,1.30E+09,16
4,4,8,32,237,1.35E+09,16
4,4,4,32,200,1.60E+09,16
4,4,4,32,326,9.82E+08,16
4,4,4,32,307,1.04E+09,16
4,4,4,32,326,9.82E+08,16
4,4,4,32,1326,2.41E+08,16
4,4,5,32,260,1.23E+09,16
4,4,5,32,310,1.03E+09,16
4,4,5,32,299,1.07E+09,16
4,4,5,32,296,1.08E+09,16
4,4,5,32,286,1.12E+09,16
4,4,13,32,160,2.00E+09,16
4,4,13,32,292,1.10E+09,16
4,4,13,32,266,1.20E+09,16
4,4,13,32,253,1.26E+09,16
4,4,13,32,283,1.13E+09,16
4,4,15,32,180,1.78E+09,16
4,4,15,32,330,9.70E+08,16
4,4,15,32,258,1.24E+09,16
4,4,15,32,276,1.16E+09,16
4,4,15,32,268,1.19E+09,16
4,4,11,32,280,1.14E+09,16
4,4,11,32,242,1.32E+09,16
4,4,11,32,325,9.85E+08,16
4,4,11,32,309,1.04E+09,16
4,4,11,32,324,9.88E+08,16
4,4,16,32,40,-5.90E+08,16
4,4,16,32,308,1.04E+09,16
4,4,16,32,285,1.12E+09,16
4,4,16,32,323,9.91E+08,16
4,4,16,32,330,9.70E+08,16
4,4,14,32,79,-2.44E+08,16
4,4,14,32,272,1.18E+09,16
4,4,14,32,264,1.21E+09,16
4,4,14,32,284,1.13E+09,16
4,4,14,32,279,1.15E+09,16
4,4,5,32,160,2.00E+09,16
4,4,5,32,276,1.16E+09,16
4,4,5,32,314,1.02E+09,16
4,4,5,32,298,1.07E+09,16
4,4,5,32,281,1.14E+09,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,15,32,200,1.60E+09,16
4,4,15,32,317,1.01E+09,16
4,4,15,32,298,1.07E+09,16
4,4,15,32,308,1.04E+09,16
4,4,15,32,302,1.06E+09,16
4,4,9,32,200,1.60E+09,16
4,4,9,32,295,1.08E+09,16
4,4,9,32,312,1.03E+09,16
4,4,9,32,336,9.52E+08,16
4,4,9,32,335,9.55E+08,16
4,4,6,32,100,-1.09E+09,16
4,4,6,32,160,2.00E+09,16
4,4,6,32,290,1.10E+09,16
4,4,6,32,283,1.13E+09,16
4,4,6,32,313,1.02E+09,16
4,4,9,32,520,6.15E+08,16
4,4,9,32,311,1.03E+09,16
4,4,9,32,298,1.07E+09,16
4,4,9,32,300,1.07E+09,16
4,4,2,32,200,1.60E+09,16
4,4,2,32,350,9.14E+08,16
4,4,2,32,354,9.04E+08,16
4,4,2,32,334,9.58E+08,16
4,4,2,32,331,9.67E+08,16
4,4,3,32,120,-1.63E+09,16
4,4,3,32,304,1.05E+09,16
4,4,3,32,316,1.01E+09,16
4,4,3,32,316,1.01E+09,16
4,4,3,32,317,1.01E+09,16
4,4,13,32,260,1.23E+09,16
4,4,13,32,185,1.73E+09,16
4,4,13,32,234,1.37E+09,16
4,4,13,32,280,1.14E+09,16
4,4,13,32,293,1.09E+09,16
4,4,14,32,200,1.60E+09,16
4,4,14,32,127,-1.78E+09,16
4,4,14,32,282,1.13E+09,16
4,4,14,32,274,1.17E+09,16
4,4,14,32,283,1.13E+09,16
4,4,6,32,100,-1.09E+09,16
4,4,6,32,200,1.60E+09,16
4,4,6,32,200,1.60E+09,16
4,4,6,32,273,1.17E+09,16
4,4,6,32,298,1.07E+09,16
4,4,16,32,180,1.78E+09,16
4,4,16,32,342,9.36E+08,16
4,4,16,32,261,1.23E+09,16
4,4,16,32,322,9.94E+08,16
4,4,16,32,316,1.01E+09,16
4,4,16,32,79,-2.44E+08,16
4,4,16,32,183,1.75E+09,16
4,4,16,32,293,1.09E+09,16
4,4,16,32,317,1.01E+09,16
4,4,16,32,313,1.02E+09,16
4,4,3,32,40,-5.90E+08,16
4,4,3,32,284,1.13E+09,16
4,4,3,32,267,1.20E+09,16
4,4,3,32,264,1.21E+09,16
4,4,3,32,262,1.22E+09,16
4,4,15,32,240,1.33E+09,16
4,4,15,32,374,8.56E+08,16
4,4,15,32,358,8.94E+08,16
4,4,15,32,357,8.96E+08,16
4,4,15,32,317,1.01E+09,16
4,4,11,32,400,8.00E+08,16
4,4,11,32,283,1.13E+09,16
4,4,11,32,240,1.33E+09,16
4,4,11,32,221,1.45E+09,16
4,4,11,32,314,1.02E+09,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,1,32,0,0,16
4,4,8,32,120,-1.63E+09,16
4,4,8,32,277,1.16E+09,16
4,4,8,32,269,1.19E+09,16
4,4,8,32,296,1.08E+09,16
4,4,8,32,293,1.09E+09,16
4,4,3,32,80,-2.95E+08,16
4,4,3,32,396,8.08E+08,16
4,4,3,32,347,9.22E+08,16
4,4,3,32,345,9.28E+08,16
4,4,3,32,320,1.00E+09,16
4,4,8,32,139,-1.99E+09,16
4,4,8,32,241,1.33E+09,16
4,4,8,32,240,1.33E+09,16
4,4,8,32,243,1.32E+09,16
4,4,8,32,282,1.13E+09,16
4,4,12,32,80,-2.95E+08,16
4,4,12,32,221,1.45E+09,16
4,4,12,32,234,1.37E+09,16
4,4,12,32,250,1.28E+09,16
4,4,12,32,275,1.16E+09,16
4,4,4,32,460,6.96E+08,16
4,4,4,32,268,1.19E+09,16
4,4,4,32,261,1.23E+09,16
4,4,4,32,261,1.23E+09,16
4,4,4,32,279,1.15E+09,16
4,4,15,32,340,9.41E+08,16
4,4,15,32,276,1.16E+09,16
4,4,15,32,300,1.07E+09,16
4,4,15,32,306,1.05E+09,16
4,4,15,32,330,9.70E+08,16
4,4,6,32,180,1.78E+09,16
4,4,6,32,260,1.23E+09,16
4,4,6,32,265,1.21E+09,16
4,4,6,32,287,1.11E+09,16
4,4,6,32,289,1.11E+09,16
4,4,3,32,220,1.45E+09,16
4,4,3,32,337,9.50E+08,16
4,4,3,32,335,9.55E+08,16
4,4,3,32,331,9.67E+08,16
4,4,3,32,338,9.47E+08,16
4,4,5,32,140,-2.01E+09,16
4,4,5,32,291,1.10E+09,16
4,4,5,32,286,1.12E+09,16
4,4,5,32,298,1.07E+09,16
4,4,5,32,290,1.10E+09,16
4,4,11,32,100,-1.09E+09,16
4,4,11,32,338,9.47E+08,16
4,4,11,32,322,9.94E+08,16
4,4,11,32,317,1.01E+09,16
4,4,11,32,316,1.01E+09,16
4,4,10,32,160,2.00E+09,16
4,4,10,32,183,1.75E+09,16
4,4,10,32,231,1.39E+09,16
4,4,10,32,294,1.09E+09,16
4,4,10,32,300,1.07E+09,16
